country,st_conn_rate [%],end_conn_rate [%],grid_cost_ceiling [EUR/MWh],Label,demand_st [GWh],demand_end [GWh],gfa_st [ha],gfa_end [ha],footprint_dh_area [ha],dhPot_2020 [GWh],dhPot_2050 [GWh],supplied_heat_over_grid_lifetime [TWh],gridCost_dist_absolute [MEUR],gridCost_service_pipe_absolute [MEUR],gridCost_total_absolute [MEUR],spCostEn [EUR/MWh],spCostMet (wo. serv. pipe) [EUR/m],trench_len_dist [km],trench_len_serv [km]
AT,0.55,0.8,36.0,115,12.54428,6.31633,11.342457000000001,12.875002,30,6.8993540000000015,5.053064,0.165,3.6098984900000004,2.16970138,5.77959988,35.07,1060.34,5.450699999999999,4.6065
AT,0.55,0.8,36.0,116,7.0940900000000005,15.37693,7.850473,30.307739,78,3.9017495000000006,12.301544000000002,0.216,4.10069518,2.94858705,7.04928225,32.57,1105.35,6.37742,6.4167
AT,0.55,0.8,36.0,117,10.346680000000001,9.596879999999999,8.895508999999999,18.078639000000003,39,5.690674000000001,7.677504,0.182,3.471028,2.52190729,5.992935269999999,32.95,1090.28,5.4967,5.32446
AT,0.55,0.8,36.0,118,281.32468,112.80545,188.95085600000002,188.981363,650,154.72857400000004,90.24436,3.359,72.45927259999999,47.26124324,119.7205158,35.64,1106.69,108.17842999999999,99.45049
AT,0.55,0.8,36.0,119,2.87647,6.76034,3.144804,13.214635999999999,33,1.5820585,5.408272000000001,0.093,1.53557854,0.96602228,2.50160083,26.84,1113.18,2.2472600000000003,2.08745
AT,0.55,0.8,36.0,120,7.967569999999999,8.8687,6.47773,16.590441000000002,27,4.382163500000001,7.094960000000001,0.155,2.62922882,1.95341379,4.58264263,29.51,1130.96,4.052,4.10908
AT,0.55,0.8,36.0,121,3.8105900000000004,11.2566,5.145422,22.497551,5,2.0958245000000004,9.00528,0.147,0.7641955899999999,0.29476291,1.0589585,7.21,1156.35,0.9157799999999999,0.6200399999999999
AT,0.55,0.8,36.0,122,23.81247,9.81142,18.250169,18.253115,53,13.096858500000002,7.849136000000001,0.288,6.36163846,3.90699539,10.26863386,35.65,1077.94,9.526200000000001,8.251149999999999
AT,0.55,0.8,36.0,123,25.30707,10.14766,18.594114,18.597116,54,13.918888500000001,8.118128,0.302,6.66684912,4.16488886,10.83173798,35.85,1095.17,9.890450000000001,8.76099
AT,0.55,0.8,36.0,124,61.346379999999996,25.06991,40.715716,40.722291,133,33.740508999999996,20.055928,0.739,15.15455819,9.507257619999999,24.66181579,33.36,1108.71,22.2438,20.00056
AT,0.55,0.8,36.0,125,6.04455,10.84275,5.9417919999999995,21.076092000000003,47,3.3245025000000004,8.6742,0.16,3.34543437,2.4192405200000002,5.76467492,35.94,1141.9,5.0483199999999995,5.16713
AT,0.55,0.8,36.0,126,4.49226,12.23767,5.019172,23.830188,4,2.4707430000000006,9.790136,0.163,0.6032349499999999,0.27223288,0.87546783,5.38,1194.97,0.73263,0.57265
AT,0.55,0.8,36.0,127,10.56649,14.799209999999999,9.144178,27.991604,55,5.811569500000001,11.839368,0.237,4.81281551,3.62915242,8.441967960000001,35.6,1141.42,7.39605,7.65088
AT,0.55,0.8,36.0,128,2.90408,7.90053,3.386447,15.541554000000001,12,1.597244,6.320424,0.104,0.8650069699999999,0.58046701,1.44547396,13.84,1144.62,1.26284,1.26713
